"Test","Trial","Subject","Sex","Strain","DOB","DOT","Week_of_Enrichment","Novel_Object_Side","Novel_object_","Treatment_","Testing_Tank_","Distance_moved","Velocity","In_zone","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","Movement","...28","...29","...30","Novel_Object_Zone","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","Zone_transition","...44","...45","...46","Turn_angle","Angular_velocity"
"NT","Trial_5",34,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","1044.5999999999999","2.95018","3","6.32","335.84","1.75556","14","48.72","0.24","13.533300000000001","13","304.83999999999997","0","84.677800000000005","162.80000000000001","45.222200000000001","196.84","54.677799999999998","147","283.64","0.24","30","29.6","1.1599999999999999","10","289.32","0.24","21","29.52","1.2","0.24","353.92","-","-","5.4931700000000001","137.32900000000001"
"FO","Trial_6",34,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2257.31","6.43696","31","127.08","16.64","35.299999999999997","88","179.68","0.12","49.911099999999998","57","52.28","9.76","14.5222","313.12","86.977800000000002","43.8","12.166700000000001","22","17","0.12","52","39.04","16.16","16","16.52","0.12","32","36.56","16.28","10.52","297.24","105.52","143.04","-0.228126","-5.7031499999999999"
"NO_RI_1","Trial_7",34,"F","AB",2020-11-04,2021-07-19,1,"2","3","Control","2","2979.92","8.45702","66","168.24","26.04","46.7333","91","159.56","6.76","44.322200000000002","26","30.88","0","8.5777800000000006","340.04","94.455600000000004","18.399999999999999","5.11111","76","59.6","9.8000000000000007","25","18.16","0","53","57.76","9.8000000000000007","18","16.96","0","6.76","268.64","-","-","0.68193800000000004","17.048500000000001"
"NO_RI_6","Trial_8",34,"F","AB",2020-11-04,2021-07-19,1,"1","2","Control","2","2158.35","6.2264900000000001","38","112.12","2.04","31.144400000000001","93","91.24","0","25.3444","60","155.96","0.04","43.322200000000002","312.44","86.788899999999998","46.16","12.8222","65","159.08000000000001","27","17","15.88","0","38","160.76","27.16","13","15.84","0","47.76","355.08","24.56","301.24","0.39849699999999999","9.9624299999999995"
"NT","Trial_9",36,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2480.42","7.2654300000000003","30","26.36","150.28","7.3222199999999997","73","119.6","2.76","33.222200000000001","45","213.92","0","59.422199999999997","325.8","90.5","33.479999999999997","9.3000000000000007","36","52.08","58.32","161","132.56","1.76","26","51.4","58.44","113","135.08000000000001","1.92","2.96","352.36","213.76","213.76","-0.27201599999999998","-6.8003999999999998"
"FO","Trial_10",36,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2048.4499999999998","6.6181599999999996","48","64.319999999999993","16.88","17.866700000000002","106","238.8","9.9600000000000009","66.333299999999994","59","52.04","0","14.4556","303.88","84.411100000000005","46.12","12.8111","2","10.039999999999999","0","395","147.36000000000001","11.12","2","10.039999999999999","0","245","151.76","11.16","9.9600000000000009","358.04","18.28","338","-0.99907400000000002","-24.976800000000001"
"NO_RI_1","Trial_11",36,"M","AB",2020-11-04,2021-07-19,1,"2","2","Control","2","2136.69","6.2940199999999997","31","19.600000000000001","7.48","5.4444400000000002","102","253.76","0.32","70.488900000000001","77","83.68","0","23.244399999999999","321.08","89.188900000000004","33.4","9.2777799999999999","73","40.4","0.84","74","36.32","4.3600000000000003","48","37.28","0.92","43","35.72","4.4400000000000004","0.32","326.83999999999997","235.68","327","0.96882800000000002","24.220700000000001"
"NO_RI_6","Trial_12",36,"M","AB",2020-11-04,2021-07-19,1,"2","3","Control","2","2064.37","6.2716399999999997","19","21.12","8.08","5.8666700000000001","130","196.28","2.08","54.522199999999998","112","139.88","0","38.855600000000003","312.32","86.755600000000001","42.6","11.833299999999999","176","275.2","8.76","7","6.84","0","85","282.2","8.8000000000000007","6","6.68","0","2.08","353.44","10.72","250.8","4.8885300000000003","122.21299999999999"
"NT","Trial_13",38,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","3897.31","11.1953","9","7.76","214.52","2.1555599999999999","139","171.48","0","47.633299999999998","129","180.76","0.64","50.211100000000002","346.64","96.288899999999998","13.12","3.6444399999999999","105","83.24","0","184","114.92","5.88","79","84.12","0","129","117.08","5.88","74.16","218.72","-","-","-0.41548099999999999","-10.387"
"FO","Trial_14",38,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","3396.41","9.6984700000000004","103","77.48","0.04","21.522200000000002","144","197.2","0","54.777799999999999","36","84.64","2.12","23.511099999999999","304","84.444400000000002","55.04","15.2889","110","81.92","6.44","63","28.24","1.92","85","80.040000000000006","6.48","46","26.84","1.96","9.8800000000000008","336.88","0.04","276.44","1.0246999999999999","25.6174"
"NO_RI_1","Trial_15",38,"M","AB",2020-11-04,2021-07-19,1,"2","2","Control","2","2343.85","6.7929700000000004","45","33.04","8.56","9.1777800000000003","118","180.88","0.16","50.244399999999999","76","144.68","0","40.188899999999997","321.83999999999997","89.4","35.4","9.8333300000000001","27","27.8","25.52","452","158.76","0","12","29.4","25.64","295","152","0","0.16","310.76","8.56","359.4","-1.15995","-28.998699999999999"
"NO_RI_6","Trial_16",38,"M","AB",2020-11-04,2021-07-19,1,"2","3","Control","2","1943.25","5.89222","5","1.92","1.4","0.53333299999999995","68","41.4","1.72","11.5","87","309.36","0","85.933300000000003","269.04000000000002","74.7333","80.92","22.477799999999998","125","241.6","1.8","83","23.52","0","75","247.48","1.8","51","22.36","0","6.52","321.92","4.4400000000000004","158.76","-0.15335099999999999","-3.8337699999999999"
"NT","Trial_17",40,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","3345.17","10.056100000000001","98","145.68","2.5206900000000001","40.568199999999997","118","173.40799999999999","24.4467","48.289700000000003","37","17.4848","1.64045","4.8690800000000003","339.09300000000002","94.429000000000002","17.084700000000002","4.7576599999999996","60","24.966899999999999","25.327000000000002","91","43.811999999999998","11.363099999999999","48","23.166399999999999","25.407","78","41.371400000000001","1.64045","66.658299999999997","320.608","197.53399999999999","276.83600000000001","0.90295999999999998","22.567799999999998"
"FO","Trial_18",40,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2821.33","8.1268899999999995","117","115.04","0","31.9556","118","244.32","3.24","67.866699999999994","1","0.64","150.68","0.17777799999999999","341.88","94.966700000000003","17.8","4.9444400000000002","5","1.84","29.08","146","79.760000000000005","8.9600000000000009","5","1.76","29.16","114","74.84","9.08","-","-","25.04","212.56","-0.90130399999999999","-22.532599999999999"
"NO_RI_1","Trial_19",40,"M","AB",2020-11-04,2021-07-19,1,"1","2","Control","2","2882.21","8.47011","76","120.6","0.12","33.668300000000002","68","229.8","0.04","64.1541","4","4.84","0.2","1.3512","337.48","94.215500000000006","17.440000000000001","4.8687899999999997","51","19.36","0.04","84","32.479999999999997","9.8800000000000008","37","18.600000000000001","0.04","63","31.72","9.92","-","-","0.12","275.68","-3.33076E-2","-0.83269099999999996"
"NO_RI_6","Trial_20",40,"M","AB",2020-11-04,2021-07-19,1,"1","3","Control","2","3112.56","8.9626900000000003","22","14.84","9.2799999999999994","4.1222200000000004","80","297.32","0","82.588899999999995","51","45.88","100.32","12.744400000000001","339.04","94.177800000000005","17.84","4.9555600000000002","73","21.44","49.32","169","78.16","0","56","20.64","49.44","117","76.28","0","135.16","305.76","9.2799999999999994","9.2799999999999994","-0.76993800000000001","-19.2484"
"NT","Trial_21",42,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2807.92","8.0975800000000007","41","219.16","75.16","60.877800000000001","50","80.599999999999994","46.8","22.3889","11","60.2","0","16.722200000000001","337.48","93.744399999999999","22.44","6.2333299999999996","60","46.64","2.8","7","3.72","63.28","39","46.16","2.8","3","3.36","63.48","250.92","250.92","138.04","344.6","-0.484093","-12.1023"
"FO","Trial_22",42,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","1709.53","4.9180999999999999","4","349.96","0.24","97.211100000000002","5","1.48","0.12","0.411111","7","8.4","0.04","2.3333300000000001","293.12","81.422200000000004","65.92","18.3111","5","8.6","0.12","1","0.08","0.04","6","8.56","0.12","1","0.08","0.04","0.12","8.36","0.24","0.24","-0.33826299999999998","-8.4565699999999993"
"NO_RI_1","Trial_23",42,"M","AB",2020-11-04,2021-07-19,1,"2","3","Control","2","2937.03","8.57376","33","344.32","0","95.644400000000005","19","13.16","188.16","3.6555599999999999","1","0.08","291.8","2.2222200000000001E-2","337.64","93.788899999999998","22.12","6.1444400000000003","9","1.52","230.52","0","0","-","6","1.56","230.6","0","0","-","-","-","-","-","0.487319","12.183"
"NO_RI_6","Trial_24",42,"M","AB",2020-11-04,2021-07-19,1,"1","2","Control","2","3108.14","8.9934600000000007","51","329.92","0","91.644400000000005","49","27.16","126.68","7.5444399999999998","2","1.24","231.12","0.34444399999999997","340.48","94.577799999999996","17.559999999999999","4.8777799999999996","19","4.16","272.36","1","0.04","231.12","12","3","272.48","1","0.08","231.12","-","-","178.48","353.44","0.229437","5.7359200000000001"
"NT","Trial_25",44,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2665.07","7.7382900000000001","61","72.84","55.44","20.235600000000002","88","166.32","0.52","46.205100000000002","30","120.52","0","33.481499999999997","340.84","94.688299999999998","17.72","4.9227699999999999","61","43.64","2","103","68","0","38","44.16","2","74","65.56","0.52","0.52","248.84","269.72000000000003","269.72000000000003","2.4069500000000001","60.173900000000003"
"FO","Trial_26",44,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2876.99","8.1900300000000001","64","192.52","0","53.477800000000002","89","147.88","35.840000000000003","41.077800000000003","24","19.32","122.64","5.3666700000000001","350.08","97.244399999999999","9.24","2.5666699999999998","34","10.36","49.64","63","26.92","36.08","20","9.44","49.68","53","25.88","36.08","263.95999999999998","308.12","59.48","313.24","0.42660900000000002","10.6652"
"NO_RI_1","Trial_27",44,"M","AB",2020-11-04,2021-07-19,1,"2","3","Control","2","2283.0500000000002","6.9267399999999997","62","212.92","0.08","59.144399999999997","83","125.32","0.2","34.811100000000003","20","20.399999999999999","2.92","5.6666699999999999","334.88","93.022199999999998","21.2","5.88889","88","36.799999999999997","0.84","8","1.32","96.04","57","38.119999999999997","0.92","6","0.96","105.36","3.48","350.76","5.68","354.4","1.39354","34.8384"
"NO_RI_6","Trial_28",44,"M","AB",2020-11-04,2021-07-19,1,"2","2","Control","2","2155.17","6.3060999999999998","54","123.52","2.4","34.311100000000003","67","208.16","0","57.822200000000002","17","24.96","0.28000000000000003","6.9333299999999998","327.72","91.033299999999997","27.36","7.6","104","42.84","61.88","2","0.56000000000000005","251","64","40.6","61.96","1","0.48","251.16","0.44","2.16","2.4","259.44","1.5405199999999999","38.512999999999998"
"NT","Trial_29",46,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2321.81","6.6405900000000004","12","7.92","247.48","2.2000000000000002","91","170.48","0","47.355600000000003","80","181.04","0.16","50.288899999999998","319.12","88.644400000000005","39.6","11","69","66.52","42.2","106","127.64","0","41","66.599999999999994","42.44","69","127.28","0","2.16","318.52","-","-","-0.107367","-2.68418"
"FO","Trial_30",46,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2892","8.1446400000000008","125","108.92","0","30.255600000000001","130","246.44","0.04","68.455600000000004","7","4.5999999999999996","0.56000000000000005","1.2777799999999999","343","95.277799999999999","16.8","4.6666699999999999","30","6.4","0.56000000000000005","41","21.92","2.76","12","4.16","0.56000000000000005","30","21.24","2.76","2.76","2.76","2.92","356.48","-1.7999799999999999","-44.999499999999998"
"NO_RI_1","Trial_31",46,"F","AB",2020-11-04,2021-07-19,1,"2","3","Control","2","2736.96","7.9636699999999996","126","176.52","4.08","49.033299999999997","129","178.32","3","49.533299999999997","6","4.72","0","1.31111","338.12","93.922200000000004","20.64","5.7333299999999996","37","11.6","19.52","71","23.24","0","21","9.8000000000000007","220.2","52","22.16","0","3","191.6","15.28","113.2","-0.28668399999999999","-7.1671100000000001"
"NO_RI_6","Trial_32",46,"F","AB",2020-11-04,2021-07-19,1,"1","2","Control","2","1722.8","4.9284699999999999","80","105.2","0.84","29.222200000000001","80","254.8","0","70.777799999999999","0","0","-","0","319.64","88.788899999999998","40.04","11.122199999999999","0","0","-","33","15.32","0.12","0","0","-","17","14.76","0.24","-","-","15.12","356.16","-0.46120800000000001","-11.530200000000001"
"NT","Trial_33",48,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2885.69","8.4160299999999992","0","0","-","0","14","7.88","12.16","2.1888899999999998","14","352.12","0","97.811099999999996","337.64","93.788899999999998","22.32","6.2","60","57.24","7.4","125","124.2","1.36","43","57.08","0","91","126.04","1.44","-","-","-","-","0.461117","11.527900000000001"
"FO","Trial_34",48,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2206.5100000000002","6.4532800000000003","25","85.52","1.92","23.755600000000001","78","101.84","0","28.288900000000002","67","169.88","6.2","47.188899999999997","322.27999999999997","89.522199999999998","33.72","9.3666699999999992","77","44.92","7.8","96","60.8","1.2","42","46.08","7.88","71","64.2","1.24","6.92","331.72","4.16","77.680000000000007","0.36162300000000003","9.0405700000000007"
"NO_RI_1","Trial_35",48,"M","AB",2020-11-04,2021-07-19,1,"1","3","Control","2","2248.52","6.4948600000000001","36","92","13.56","25.555599999999998","76","145.4","0.48","40.3889","43","121.68","0","33.799999999999997","331.96","92.211100000000002","26.48","7.3555599999999997","37","22.96","10.92","85","69.319999999999993","2.3199999999999998","28","22.2","11","66","69.8","2.44","0.48","201.8","-","-","-0.59446900000000003","-14.861700000000001"
"NO_RI_6","Trial_36",48,"M","AB",2020-11-04,2021-07-19,1,"2","2","Control","2","2500.89","7.3520899999999996","14","8.84","7.08","2.4555600000000002","57","57.16","5.92","15.877800000000001","49","292.56","0","81.2667","318.68","88.522199999999998","38.200000000000003","10.6111","66","75.64","6.04","81","124.24","0","43","78.84","6.12","67","126.64","0","19.68","28.76","299.08","338.08","8.8470300000000002E-2","2.2117599999999999"
"NT","Trial_37",50,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","1415.32","4.0782600000000002","2","1.32","297.16000000000003","0.36666700000000002","18","39.159999999999997","198.12","10.877800000000001","18","319.48","0","88.744399999999999","224.24","62.288899999999998","135.68","37.688899999999997","42","75.680000000000007","141.68","93","207.84","2.76","21","76.28","141.72","33","210.72","2.84","259.39999999999998","295.83999999999997","-","-","4.3477399999999999","108.694"
"FO","Trial_38",50,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","1640.2","5.0673599999999999","7","1.28","13.6","0.35555599999999998","36","50.36","59.68","13.988899999999999","57","297.48","0.04","82.633300000000006","275.27999999999997","76.466700000000003","71.599999999999994","19.8889","49","43.96","15.4","124","147.76","0.04","170","56.12","16","69","152.04","0.04","75.16","345.12","-","-","0.35767700000000002","8.94191"
"NO_RI_1","Trial_39",50,"F","AB",2020-11-04,2021-07-19,1,"1","2","Control","2","579.55100000000004","2.22973","2","1.1200000000000001","18.559999999999999","0.31111100000000003","11","6.12","0.68","1.7","17","259.8","0","72.166700000000006","98.2","27.277799999999999","167.48","46.522199999999998","64","236.88","0","10","14.36","0.08","19","244.2","0","10","14.4","0.08","-","-","-","-","-2.6170900000000001","-65.427300000000002"
"NO_RI_6","Trial_40",50,"F","AB",2020-11-04,2021-07-19,1,"2","3","Control","2","1261.8","3.8748300000000002","9","9.64","163.24","2.6777799999999998","72","79.12","4.3600000000000003","21.977799999999998","74","265.04000000000002","0","73.622200000000007","183.52","50.977800000000002","164.64","45.7333","253","288.36","5.28","7","8.64","0","123","301.60000000000002","5.28","6","8.1999999999999993","0","4.3600000000000003","330.4","-","-","2.7262300000000002","68.155799999999999"
"NT","Trial_41",52,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","4139.54","11.872","72","42.76","0","11.877800000000001","142","220.6","0.04","61.277799999999999","70","96.64","0.2","26.8444","350.72","97.422200000000004","8.8800000000000008","2.4666700000000001","93","56.2","12.28","184","120.32","0.04","65","56.24","12.4","126","121.32","0.16","34.44","350.8","-","-","0.81985799999999998","20.496400000000001"
"FO","Trial_42",52,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2128.5","6.39419","27","19.079999999999998","118.2","5.3","136","114.24","0","31.7333","115","223.16","0.08","61.988900000000001","298.52","82.922200000000004","55.4","15.3889","13","12.2","0.08","385","198.36","5.32","11","15.68","0.08","160","214.84","5.32","5.32","355.12","134.04","347.6","-2.8127800000000001","-70.319500000000005"
"NO_RI_1","Trial_43",52,"F","AB",2020-11-04,2021-07-19,1,"2","3","Control","2","4031.76","11.8497","83","59.16","4.96","16.433299999999999","202","231.76","5.2","64.377799999999993","122","67.88","0","18.855599999999999","334.2","92.833299999999994","21.88","6.0777799999999997","145","63.56","5.24","137","78.88","0","129","64.88","5.24","95","78.680000000000007","0","52.56","359.88","40.200000000000003","114.32","-1.95844","-48.960999999999999"
"NO_RI_6","Trial_44",52,"F","AB",2020-11-04,2021-07-19,1,"2","2","Control","2","2959.58","8.7437400000000007","31","15.32","9.44","4.25556","157","204.4","0.04","56.777799999999999","137","137.88","0","38.299999999999997","318.44","88.455600000000004","37.24","10.3444","255","130.4","2.12","107","79.040000000000006","0","159","136.47999999999999","2.12","65","82.04","0","0.04","358.32","241.24","353.36","0.20095399999999999","5.0238399999999999"
"NT","Trial_45",54,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","3009.74","8.6397499999999994","10","13.52","0","3.75556","42","162.32","51.04","45.088900000000002","34","184.12","0.16","51.144399999999997","337.6","93.777799999999999","22.08","6.1333299999999999","98","76.08","14.92","134","115.08","0.16","66","77.84","15","77","117.24","0.16","138.96","351.32","-","-","4.8668299999999998E-2","1.21671"
"FO","Trial_46",54,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2136.36","6.5212500000000002","9","11.76","140.32","3.26667","53","110.52","15.44","30.7","75","232.68","0","64.633300000000006","307.52","85.422200000000004","42.76","11.877800000000001","155","86","8.76","151","99.76","0","94","87.64","9.36","89","103.6","0","61.72","354.48","355.72","355.72","-1.0137799999999999","-25.3444"
"NO_RI_1","Trial_47",54,"M","AB",2020-11-04,2021-07-19,1,"2","2","Control","2","2439.67","7.6021099999999997","43","64.599999999999994","8.16","17.944400000000002","89","162.84","0","45.2333","59","125.48","7.2","34.855600000000003","315.04000000000002","87.511099999999999","32.159999999999997","8.9333299999999998","54","34.200000000000003","33.159999999999997","192","139.24","0","45","32.880000000000003","33.28","112","146.08000000000001","0","10.84","355.36","291.92","356.16","0.34429199999999999","8.60731"
"NO_RI_6","Trial_48",54,"M","AB",2020-11-04,2021-07-19,1,"1","3","Control","2","1692.53","5.1004399999999999","19","59.8","58.68","16.6111","56","109.24","4.04","30.3444","60","182.96","0","50.822200000000002","291.12","80.866699999999994","57.44","15.9556","38","14.84","4.28","130","114.2","0","20","13.32","4.3600000000000003","80","117.64","0","4.04","344.68","58.68","58.68","-0.14086199999999999","-3.52155"
"NT","Trial_49",56,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2574.89","7.3300299999999998","1","0.92","291.39999999999998","0.25555600000000001","42","64.44","73.44","17.899999999999999","42","294.64","0","81.844399999999993","336.4","93.444400000000002","23.48","6.5222199999999999","97","107.16","11.12","74","62.72","0","62","107.12","11.28","51","61.28","0","170.56","170.56","-","-","-9.2361100000000002E-2","-2.3090299999999999"
"FO","Trial_50",56,"F","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2139.4","6.1209699999999998","34","31.52","52.96","8.7555599999999991","66","251.72","6.32","69.922200000000004","30","75.599999999999994","0","21","324.76","90.211100000000002","33.72","9.3666699999999992","39","23.2","0","54","32.4","103.44","31","22.8","0","36","32.4","103.52","6.32","179.32","-","-","0.50034800000000001","12.508699999999999"
"NO_RI_1","Trial_51",56,"F","AB",2020-11-04,2021-07-19,1,"1","3","Control","2","2299.11","6.7828499999999998","43","57.08","73","15.855600000000001","76","228.24","0","63.4","34","72.36","1.28","20.100000000000001","330.4","91.777799999999999","25.52","7.0888900000000001","42","19.52","1.1599999999999999","126","81.72","0","25","17.96","1.2","82","80.599999999999994","0","8.16","255.88","97.92","97.92","0.43661899999999998","10.9155"
"NO_RI_6","Trial_52",56,"F","AB",2020-11-04,2021-07-19,1,"1","2","Control","2","2516.73","7.3795799999999998","44","46.24","8.8000000000000007","12.8444","73","284.76","0","79.099999999999994","26","28.36","0.04","7.8777799999999996","335.84","93.288899999999998","22.52","6.25556","18","8.84","40.200000000000003","133","104","0","13","8.48","40.36","94","103.92","0","67.680000000000007","299.39999999999998","135.36000000000001","135.36000000000001","-0.83978699999999995","-20.994700000000002"
"NT","Trial_53",58,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2798.85","7.9440600000000003","55","64.88","5.48","18.022200000000002","98","210.2","0.84","58.3889","43","84.92","0","23.588899999999999","346.4","96.222200000000001","13.4","3.7222200000000001","63","59.36","0.04","130","100.44","4.08","40","60.08","0","76","101.44","4.16","0.84","334.68","-","-","0.26551799999999998","6.63795"
"FO","Trial_54",58,"M","AB",2020-11-04,2021-07-19,1,NA,NA,"Control","2","2506.62","7.2128699999999997","70","175.56","33","48.7667","86","168.2","0.04","46.722200000000001","16","15.6","0.68","4.3333300000000001","333.04","92.511099999999999","25.08","6.9666699999999997","13","9","0.04","45","29.32","149.6","8","8.48","0.04","32","28.4","149.80000000000001","0.8","344.88","45.44","147.19999999999999","-1.22824","-30.7059"
"NO_RI_1","Trial_55",58,"M","AB",2020-11-04,2021-07-19,1,"1","2","Control","2","2268.2600000000002","6.4607999999999999","75","150.80000000000001","0.36","41.8889","96","165.68","0","46.022199999999998","21","42.8","98.36","11.8889","338.12","93.922200000000004","20.239999999999998","5.6222200000000004","68","45.32","12.2","64","33.119999999999997","9.56","44","45","12.28","46","34.200000000000003","9.52","99.84","167.16","0.36","156.4","0.13807800000000001","3.4519600000000001"
"NO_RI_6","Trial_56",58,"M","AB",2020-11-04,2021-07-19,1,"1","3","Control","2","1863.39","5.34537","46","93.84","6.08","26.066700000000001","68","226.24","0","62.8444","24","38.159999999999997","6.56","10.6","324.64","90.177800000000005","32.56","9.0444399999999998","2","3.28","7.16","81","59.24","0","2","3.28","7.16","45","58.72","0","11.16","336.88","6.08","6.08","-0.65059800000000001","-16.265000000000001"
"NT","Trial_1",1,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2923.29","8.1738300000000006","49","33.68","150.56","9.3555600000000005","139","139.08000000000001","0.04","38.633299999999998","96","174.56","0","48.488900000000001","338.48","94.022199999999998","21.4","5.9444400000000002","237","146.08000000000001","0.04","82","57.92","0","148","153.19999999999999","0.04","60","57.36","0","0.04","349.52","186.4","281.83999999999997","0.82426500000000003","20.6066"
"FO","Trial_2",1,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2584.36","7.5144200000000003","104","121.2","3.24","33.666699999999999","167","171.12","0.04","47.533299999999997","63","57.72","0","16.033300000000001","314.56","87.377799999999993","36.36","10.1","154","66.84","0","81","57.4","3.64","89","69.88","0","62","55.92","3.64","0.04","358.36","3.24","338.68","-0.82479400000000003","-20.619900000000001"
"NO_RI_1","Trial_3",1,"M","AB",2020-11-04,2021-07-20,1,"2","2","Enriched","1","3081.2","8.9196399999999993","102","113.24","0.64","32.332099999999997","152","196.16","0","56.007300000000001","47","33.36","39.08","9.5249000000000006","340.48","97.213300000000004","7.76","2.2156199999999999","0","0","-","169","75.760000000000005","37","0","0","-","124","74.88","37.6","126.32","346.48","0.64","317.76","1.13541","28.385300000000001"
"NO_RI_6","Trial_4",1,"M","AB",2020-11-04,2021-07-20,1,"1","3","Enriched","1","1973.08","6.1466599999999998","28","50.96","50","14.1556","185","191.56","8.8800000000000008","53.211100000000002","109","84.56","0","23.488900000000001","292.27999999999997","81.188900000000004","49.44","13.7333","8","7","0","143","155.19999999999999","8.7200000000000006","7","6.6","0","96","157.12","8.7200000000000006","14.96","304.83999999999997","50","346.92","0.83710899999999999","20.927700000000002"
"NT","Trial_5",3,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2667.02","7.4790299999999998","3","7.72","331.88","2.1444399999999999","46","62.68","75.52","17.411100000000001","45","277.60000000000002","0","77.111099999999993","326.24","90.622200000000007","33.68","9.3555600000000005","221","152.19999999999999","0","75","63.72","6.36","136","159.6","0","53","65.72","10.48","88.92","318.12","351.04","351.04","0.48797499999999999","12.199400000000001"
"FO","Trial_6",3,"M","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","1688.25","5.9655399999999998","2","2.16","271.04000000000002","0.6","37","43.68","54.32","12.1333","94","300.60000000000002","0","83.5","266.64","74.066699999999997","55.68","15.466699999999999","66","49.48","0","111","198.36","3.8","48","51.36","0","84","200.44","3.8","228.68","313.2","271.04000000000002","314.2","3.9412099999999999E-2","0.98530200000000001"
"NO_RI_1","Trial_7",3,"M","AB",2020-11-04,2021-07-20,1,"1","2","Enriched","1","2190.0300000000002","6.6671699999999996","5","8.64","72.959999999999994","2.4","79","71.44","0.2","19.8444","105","257.68","0.52","71.577799999999996","308.16000000000003","85.6","37.08","10.3","95","103.52","0.08","110","103.16","14.68","64","105.4","0.08","79","103.28","14.68","1.04","277.2","-","-","0.31803399999999998","7.95085"
"NO_RI_6","Trial_8",3,"M","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","1","1750.63","5.2495799999999999","0","0","-","0","10","5.88","0.04","1.6333299999999999","29","352.36","1.52","97.877799999999993","308.56","85.711100000000002","46.2","12.833299999999999","174","197.44","0.04","0","0","-","112","205.72","0.04","0","0","-","2.08","3.84","-","-","2.05762","51.4405"
"NT","Trial_9",5,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","2104.88","5.94062","9","21.52","0","5.9777800000000001","26","44.16","184.96","12.2667","27","285.48","14.08","79.3","303.44","84.288899999999998","54.08","15.0222","64","107.16","14.08","93","102.92","40.24","45","109.4","14.08","78","108.2","40.36","-","-","250.96","250.96","-0.38186500000000001","-9.5466300000000004"
"FO","Trial_10",5,"F","AB",2020-11-04,2021-07-20,1,NA,NA,"Enriched","1","1744.09","5.22621","37","50.88","10.039999999999999","14.1349","82","233.52","5.16","64.873900000000006","57","62.6","0","17.390799999999999","296.08","82.253600000000006","48.68","13.5237","40","18.12","0","102","84.32","64.92","29","17.72","0","74","86.08","65.319999999999993","5.16","350.24","10.039999999999999","325.88","-0.17965700000000001","-4.4914199999999997"
"NO_RI_1","Trial_11",5,"F","AB",2020-11-04,2021-07-20,1,"1","2","Enriched","1","2327.4499999999998","6.6780900000000001","62","144.16","10.24","40.044400000000003","85","168.28","11.28","46.744399999999999","27","37.119999999999997","0.12","10.3111","330.72","91.866699999999994","22.36","6.2111099999999997","15","10.56","0.12","68","62.6","13.08","15","10.119999999999999","0.12","52","62.64","13.08","13.2","149.04","169.68","284.56","-2.3511799999999998","-58.779499999999999"
"NO_RI_6","Trial_12",5,"F","AB",2020-11-04,2021-07-20,1,"2","3","Enriched","1","2298.33","6.5123300000000004","77","117.92","0.4","32.755600000000001","98","224.64","0","62.4","13","12.12","3.24","3.3666700000000001","328.28","91.188900000000004","30.48","8.4666700000000006","138","65.8","0.52","6","0.4","2.2400000000000002","100","65.92","0.56000000000000005","3","0.2","2.2400000000000002","-","-","0.4","262.08","-1.2895300000000001","-32.238199999999999"
