"...1","Trials","Subject","sex","Strain","DOB","DOT","Week_of_enrichment","Novel_object_side","Novel_object_#","Treatment","Testing_Tank","Distance_moved","Velocity","In_zone...15","In_zone...16","In_zone...17","In_zone...18","In_zone...19","In_zone...20","In_zone...21","In_zone...22","In_zone...23","In_zone...24","In_zone...25","In_zone...26","Movement...27","Movement...28","Movement...29","Movement...30","Novel_Object_Zone...31","Novel_Object_Zone...32","Novel_Object_Zone...33","Novel_Object_Zone...34","Novel_Object_Zone...35","Novel_Object_Zone...36","Novel_Object_Zone...37","Novel_Object_Zone...38","Novel_Object_Zone...39","Novel_Object_Zone...40","Novel_Object_Zone...41","Novel_Object_Zone...42","Zone_transition...43","Zone_transition...44","Zone_transition...45","Zone_transition...46","Turn_angle","Angular_velocity"
"NO_RI_1","Trial_3",32,"F","AB",2020-11-04,2021-07-13,0,1,3,"Control",2,"1627.84","4.9532699999999998","7","6.04","54.4","1.67778","82","117.96","3.28","32.7667","91","226.72","0.08","62.977800000000002","275.60000000000002","76.555599999999998","70.44","19.566700000000001","8","2.84","2.96","164","241.64","0.08","6","2.64","3.04","114","249.68","0.08","48.52","357.8","180.04","219.56","-0.28974100000000003","-7.2435299999999998"
"NO_RI_6","Trial_4",32,"F","AB",2020-11-04,2021-07-13,0,2,2,"Control",2,"2073.29","6.1624400000000001","4","2.52","4.32","0.7","79","57.76","0","16.0444","69","292.64","9.08","81.288899999999998","298.52","82.922200000000004","51.8","14.3889","100","117.44","5.6","48","89.64","2.04","79","117.32","5.6","40","88.64","2.08","154.56","314.39999999999998","-","-","0.24187900000000001","6.0469799999999996"
"NT","Trial_5",34,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2877.28","8.2775499999999997","0","0","-","0","16","11.68","0.12","3.24444","18","348.28","0","96.744399999999999","319.36","88.711100000000002","40.08","11.1333","93","74.319999999999993","49.36","118","110.52","0.8","60","75.12","49.4","62","115.52","0.84","0.12","0.12","-","-","1.0912200000000001","27.2805"
"FO","Trial_6",34,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2557.81","7.78017","6","0.72","6.04","0.2","42","33.36","0.08","9.2666699999999995","66","321.39999999999998","0.16","89.277799999999999","319.2","88.666700000000006","31.72","8.8111099999999993","176","106.76","1.88","88","31.04","0.08","97","110.28","2.16","52","30.24","0.08","0.36","248.28","-","-","1.2314099999999999","30.785299999999999"
"NO_RI_1","Trial_7",34,"M","AB",2020-11-04,2021-07-13,0,1,2,"Control",2,"2134.62","6.5286999999999997","34","41.64","69.44","11.566700000000001","103","144.72","24.12","40.200000000000003","69","163.76","0","45.488900000000001","311.88","86.633300000000006","40.6","11.277799999999999","2","1","23.88","219","176.8","0.88","2","0.8","24.04","119","184.36","0.92","80.239999999999995","359.84","125.76","188.04","-1.06172","-26.543099999999999"
"NO_RI_6","Trial_8",34,"M","AB",2020-11-04,2021-07-13,0,1,3,"Control",2,"1856.57","6.29176","17","10.4","7.88","2.88889","92","97.28","11.48","27.022200000000002","114","238.04","0","66.122200000000007","285.32","79.255600000000001","55.6","15.4444","2","5.96","0","356","253.68","6.6","2","5.96","0","162","273.8","6.72","13.12","307.72000000000003","171.24","176.12","-0.28006500000000001","-7.00162"
"NT","Trial_9",36,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"1241.6500000000001","3.6730999999999998","7","12.6","186.6","3.5","32","57.56","0","15.988899999999999","32","285","0.6","79.166700000000006","220.04","61.122199999999999","134.08000000000001","37.244399999999999","50","153.72","0","68","89.96","148.44","15","154.96","0","36","91.2","148.47999999999999","-","-","-","-","-2.2433100000000001","-56.082799999999999"
"FO","Trial_10",36,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2064.79","5.8241699999999996","12","21","10.96","5.8333300000000001","60","272.36","0.04","75.655600000000007","44","63.76","0.12","17.711099999999998","316.27999999999997","87.855599999999995","42.4","11.777799999999999","28","18.68","0.04","26","10.84","10.24","17","15.72","0.04","13","6.88","10.36","7.96","250.6","143.28","143.28","0.61145700000000003","15.2864"
"NO_RI_1","Trial_11",36,"F","AB",2020-11-04,2021-07-13,0,1,2,"Control",2,"2681.27","8.5282","20","21.16","56.92","5.8777799999999996","127","139.84","0","38.8444","116","182.84","0.04","50.788899999999998","311.60000000000002","86.555599999999998","26.28","7.3","85","55.4","0","172","109.44","17.16","50","56.36","0","127","112.72","17.28","4.12","320.32","343.52","343.52","-1.2952900000000001","-32.382199999999997"
"NO_RI_6","Trial_12",36,"F","AB",2020-11-04,2021-07-13,0,1,3,"Control",2,"3005.22","8.6406500000000008","79","174.84","6.48","48.566699999999997","89","145.96","0","40.544400000000003","15","24.64","1.04","6.8444399999999996","338.24","93.955600000000004","19.36","5.3777799999999996","23","11.92","81.400000000000006","50","37.520000000000003","0","18","10.64","81.48","45","35.68","0","9.2799999999999994","306.83999999999997","6.48","93.04","1.76685","44.171399999999998"
"NT","Trial_13",38,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"3854.7","10.927300000000001","3","0.96","95.24","0.26666699999999999","107","119.92","0","33.311100000000003","104","238.92","1.2","66.366699999999994","347.2","96.444400000000002","12.72","3.5333299999999999","112","93.92","3.04","109","91.68","1.96","88","93.28","0","76","92.2","2.04","105.68","345.08","-","-","-0.81200600000000001","-20.3001"
"FO","Trial_14",38,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"3684.15","10.5648","88","71.64","2.2000000000000002","19.899999999999999","143","214.16","0","59.488900000000001","56","65.48","0.48","18.1889","341.6","94.888900000000007","17.32","4.8111100000000002","157","63.28","0","20","5.76","0.48","132","60.24","0","16","5.28","0.48","0.52","352.12","2.2000000000000002","2.2000000000000002","1.7691699999999999","44.229199999999999"
"NO_RI_1","Trial_15",38,"M","AB",2020-11-04,2021-07-13,0,2,2,"Control",2,"3742.55","10.731","31","22.16","3.32","6.1555600000000004","126","281.16000000000003","0.04","78.099999999999994","87","52.72","0.88","14.644399999999999","348.72","96.866699999999994","10","2.7777799999999999","234","144.68","0.32","18","6.56","0.92","182","144.04","0.44","12","5.28","0.92","10.039999999999999","337.4","3.32","3.32","2.9561000000000002","73.902600000000007"
"NO_RI_6","Trial_16",38,"M","AB",2020-11-04,2021-07-13,0,2,2,"Control",2,"2449.56","7.4319100000000002","89","136.52000000000001","12.96","37.922199999999997","118","162.6","0.08","45.166699999999999","30","50.84","0","14.122199999999999","327.2","90.888900000000007","29.88","8.3000000000000007","151","60.96","13.76","9","10.68","0","105","58.36","38.200000000000003","5","10.36","0","0.08","326.39999999999998","12.96","262.16000000000003","1.01132","25.282900000000001"
"NT","Trial_17",40,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"3190.78","9.2464999999999993","53","60.52","74","16.8111","89","168.12","0","46.7","34","126.8","0.12","35.222200000000001","342.16","95.044399999999996","17.28","4.8","66","55.96","1.1200000000000001","135","87.72","3.76","50","54.96","1.36","82","86.6","3.88","0.16","317.8","177.04","329.84","2.6451600000000002","66.129099999999994"
"FO","Trial_18",40,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2359.4499999999998","6.8279100000000001","84","272.52","8.6","75.7","84","71.88","9.44","19.966699999999999","2","6.72","0","1.8666700000000001","327.2","90.888900000000007","30.24","8.4","1","6.6","0","63","25.92","205.72","1","6.6","0","43","23.28","205.84","-","-","80.400000000000006","356.64","1.0472399999999999","26.180900000000001"
"NO_RI_1","Trial_19",40,"M","AB",2020-11-04,2021-07-13,0,1,3,"Control",2,"3603.58","10.119","160","194.12","0.48","53.922199999999997","159","149.72","0","41.588900000000002","0","0","-","0","353.6","98.222200000000001","6.32","1.75556","0","0","-","39","12.96","0.32","0","0","-","30","11.8","0.84","-","-","45.6","357.16","-0.29159000000000002","-7.2897400000000001"
"NO_RI_6","Trial_20",40,"M","AB",2020-11-04,2021-07-13,0,1,2,"Control",2,"2732.19","8.1929800000000004","108","225.64","12.36","62.677799999999998","127","105.56","0.16","29.322199999999999","30","18.8","0","5.2222200000000001","334.4","92.888900000000007","20.76","5.7666700000000004","98","39.08","16.52","21","14","0","80","38.4","16.52","13","13.16","0","0.16","87.24","43.32","337.32","-0.307141","-7.6785199999999998"
"NT","Trial_21",42,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2833.36","8.2624700000000004","9","38.119999999999997","261.24","10.591200000000001","65","77","139.32","21.393599999999999","56","244.08","0","67.815100000000001","317.95999999999998","88.341899999999995","41.88","11.635899999999999","44","37.159999999999997","0.2","306","122.08","1.1200000000000001","25","36.520000000000003","0.2","161","122.2","1.1599999999999999","163.4","276.04000000000002","-","-","-0.237873","-5.9468199999999998"
"FO","Trial_22",42,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"3635.32","10.797599999999999","47","20.64","3.24","5.7333299999999996","162","210.04","0","58.3444","115","124.44","0.04","34.566699999999997","342.84","95.2333","13.6","3.7777799999999999","121","51.24","34.64","184","75.64","0.6","105","50.8","34.799999999999997","135","72.72","2.76","2.2799999999999998","347.08","136","136","-0.39529300000000001","-9.88232"
"NO_RI_1","Trial_23",42,"M","AB",2020-11-04,2021-07-13,0,1,3,"Control",2,"3487.27","10.3247","97","84.96","0.68","23.6","153","244.64","0","67.955600000000004","47","23.32","0.16","6.4777800000000001","346.96","96.377799999999993","11.76","3.26667","5","4.08","19.16","269","114.08","3.04","5","4","19.28","207","116.6","3.12","57.52","297.95999999999998","121.64","343.32","-1.63141","-40.785299999999999"
"NO_RI_6","Trial_24",42,"M","AB",2020-11-04,2021-07-13,0,1,2,"Control",2,"1912.64","5.3895299999999997","1","0.76","11.24","0.21111099999999999","28","51.24","0.24","14.2333","28","307.48","0","85.411100000000005","314.95999999999998","87.488900000000001","43.72","12.144399999999999","2","5.48","0","10","1.1200000000000001","5.92","2","5.48","0","4","0.44","5.96","0.24","274","-","-","0.31769700000000001","7.9424200000000003"
"NT","Trial_25",44,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"1106.54","3.1583000000000001","0","0","-","0","6","12.92","252.6","3.5888900000000001","5","346.88","0","96.355599999999995","198.96","55.2667","161","44.722200000000001","50","76.08","0","35","95.56","1.4","28","75.959999999999994","0","17","100.64","1.44","-","-","-","-","0.16664999999999999","4.1662400000000002"
"FO","Trial_26",44,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"1185.03","3.3696199999999998","1","1.04","262.52","0.28888900000000001","24","29.8","165.84","8.2777799999999999","29","327.68","0","91.022199999999998","208.4","57.8889","149.4","41.5","15","5.76","138.32","43","22.2","181.6","9","5.28","138.4","26","20.76","215","212.84","269.95999999999998","-","-","0.33301799999999998","8.32545"
"NO_RI_1","Trial_27",44,"F","AB",2020-11-04,2021-07-13,0,1,2,"Control",2,"662.923","1.88845","1","0.04","27.56","1.11111E-2","4","0.28000000000000003","3.6","7.7777799999999994E-2","7","359.48","0","99.855599999999995","94","26.1111","265.83999999999997","73.844399999999993","0","0","-","17","8.2799999999999994","0","0","0","-","12","8.68","0","3.6","27.52","27.56","27.56","1.3218000000000001","33.044899999999998"
"NO_RI_6","Trial_28",44,"F","AB",2020-11-04,2021-07-13,0,2,3,"Control",2,"1019.98","2.89208","4","0.72","0.92","0.20008899999999999","25","31.4","0.36","8.7261000000000006","24","326.92","0.16","90.851500000000001","166.36","46.231699999999996","191.08","53.101399999999998","20","21.56","248.96","142","192.44","2","11","20.92","302.83999999999997","6","240.8","2","0.36","301.83999999999997","0.92","0.92","3.4564499999999998","86.411199999999994"
"NT","Trial_29",46,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"1494.81","4.3388200000000001","4","7.32","267.48","2.0333299999999999","53","119.48","0","33.188899999999997","48","230.64","3.84","64.066699999999997","287.76","79.933300000000003","71.400000000000006","19.833300000000001","83","34.68","7.36","12","7.04","11.64","32","34.200000000000003","7.44","6","6.84","11.64","3.92","275.08","-","-","0.19240199999999999","4.8100500000000004"
"FO","Trial_30",46,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"1692","4.8150399999999998","64","133.36000000000001","28.8","37.044400000000003","66","210","0","58.333300000000001","1","0.04","175.4","1.11111E-2","308.92","85.811099999999996","49.96","13.877800000000001","3","0.36","240.68","48","30.52","0","2","0.28000000000000003","240.8","36","28.36","0","-","-","65.84","287.76","-0.77404700000000004","-19.351199999999999"
"NO_RI_1","Trial_31",46,"F","AB",2020-11-04,2021-07-13,0,2,2,"Control",2,"1922.74","5.4860300000000004","60","197.04","8.36","54.7333","64","142.36000000000001","0","39.544400000000003","8","8.7200000000000006","136.36000000000001","2.4222199999999998","325.76","90.488900000000001","33.840000000000003","9.4","12","1.36","227.12","9","2.88","4.2","4","1.24","234.44","7","2.16","4.28","-","-","23.2","274.32","-0.35362100000000002","-8.8405199999999997"
"NO_RI_6","Trial_32",46,"F","AB",2020-11-04,2021-07-13,0,1,3,"Control",2,"2044.32","5.8563000000000001","74","119.92","0","33.311100000000003","74","224.36","0.52","62.322200000000002","2","2.16","215.24","0.6","329.28","91.466700000000003","30.4","8.4444400000000002","18","5.2","266.24","7","1.32","4.12","17","4.4400000000000004","277.68","4","0.72","4.2","217","217","42.2","322.88","-5.9665700000000002E-2","-1.4916400000000001"
"NT","Trial_33",48,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"1683.24","4.7640700000000002","1","0.2","103.44","5.5555599999999997E-2","12","22.52","1.04","6.25556","12","337.12","0","93.644400000000005","266.92","74.144400000000005","93.04","25.8444","25","14.6","12.56","130","232.6","0","17","13.32","12.6","77","238.44","0.08","-","-","-","-","0.737259","18.4315"
"FO","Trial_34",48,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"1600.97","4.7625299999999999","29","59.36","12.32","16.488900000000001","95","222","0","61.666699999999999","50","66.36","1.72","18.433299999999999","288.95999999999998","80.2667","60.8","16.8889","1","1","1.64","303","141.24","0","1","1","1.64","186","140.68","0","2.64","345.88","12.32","174.24","-0.17457600000000001","-4.3644100000000003"
"NO_RI_1","Trial_35",48,"F","AB",2020-11-04,2021-07-13,0,2,3,"Control",2,"1879.43","5.3544900000000002","47","174.64","9.9600000000000009","48.511099999999999","66","146.68","0.08","40.744399999999999","16","28.52","0","7.9222200000000003","322.48","89.577799999999996","36.4","10.1111","64","68.680000000000007","0","0","0","-","42","68.84","0","0","0","-","0.08","216.04","305.27999999999997","319.8","0.45454299999999997","11.3636"
"NO_RI_6","Trial_36",48,"F","AB",2020-11-04,2021-07-13,0,2,2,"Control",2,"2068.8000000000002","5.8646000000000003","62","200.2","4.4000000000000004","55.6111","73","142.84","0","39.677799999999998","11","5.24","3.72","1.45556","325.36","90.377799999999993","33.200000000000003","9.2222200000000001","60","60.96","0","0","0","-","49","60.32","0","0","0","-","3.8","157.12","4.4000000000000004","188.36","1.3176300000000001","32.940899999999999"
"NT","Trial_37",50,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2368.9899999999998","6.8970099999999999","30","41.76","40.119999999999997","11.6","75","205.24","0","57.011099999999999","38","108.92","0.04","30.255600000000001","340.28","94.522199999999998","18.920000000000002","5.25556","55","48.2","3.56","147","101.4","2.44","40","48.16","3.56","100","103.36","6.92","264.8","312.64","-","-","0.68571099999999996","17.142800000000001"
"FO","Trial_38",50,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2250.04","6.6949699999999996","61","118.2","8.84","32.833300000000001","69","219.2","8.16","60.8889","6","7.92","0","2.2000000000000002","332.96","92.488900000000001","25","6.9444400000000002","1","0.4","238.4","94","42.72","0","1","0.32","238.52","69","42.2","0","8.16","8.7200000000000006","8.84","174.32","0.58381400000000006","14.5954"
"NO_RI_1","Trial_39",50,"F","AB",2020-11-04,2021-07-13,0,1,3,"Control",2,"2905.54","8.7127999999999997","77","284.44","1.36","79.011099999999999","67","64.319999999999993","0","17.866700000000002","0","0","-","0","341.56","94.877799999999993","17.32","4.8111100000000002","0","0","-","42","10","0","0","0","-","27","9.1999999999999993","0.12","-","-","125.4","335.64","-0.82598499999999997","-20.6496"
"NO_RI_6","Trial_40",50,"F","AB",2020-11-04,2021-07-13,0,2,2,"Control",2,"2187.56","6.3429700000000002","64","197.04","5.88","54.7333","61","145.19999999999999","0","40.333300000000001","2","0.28000000000000003","5","7.7777799999999994E-2","324.83999999999997","90.2333","33.24","9.2333300000000005","32","11.8","0","1","0.04","10.64","19","11.16","0","0","0","-","5.72","5.72","14.04","261.04000000000002","-0.118204","-2.9550999999999998"
"NT","Trial_41",52,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2090.73","6.0509599999999999","22","21.04","0.48","5.8444399999999996","51","93.28","0","25.911100000000001","29","241.64","2.8","67.122200000000007","329.04","91.4","30.84","8.5666700000000002","70","90.6","0","76","86.8","2.8","46","90","0","52","87.68","3","248.6","248.6","-","-","0.687801","17.195"
"FO","Trial_42",52,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2273.16","6.5448599999999999","32","175.24","7.76","48.677799999999998","50","155.16","4.72","43.1","18","23.44","0.04","6.5111100000000004","329.6","91.555599999999998","29.32","8.1444399999999995","29","15.16","0.04","22","12.24","67.2","19","14.96","0.04","18","12.6","67.36","4.72","305.12","78.599999999999994","353","0.22395799999999999","5.5989500000000003"
"NO_RI_1","Trial_43",52,"F","AB",2020-11-04,2021-07-13,0,1,3,"Control",2,"2189.86","6.29922","46","176.96","20.92","49.1556","78","137.24","0.04","38.122199999999999","25","34.159999999999997","0.08","9.4888899999999996","332.12","92.255600000000001","25.84","7.1777800000000003","3","5","0.04","75","40.64","6.48","4","5.04","0.04","50","43.24","6.56","2.4","351.32","35.36","202.8","0.40877200000000002","10.2193"
"NO_RI_6","Trial_44",52,"F","AB",2020-11-04,2021-07-13,0,1,2,"Control",2,"1962.48","5.8047800000000001","47","124.4","14.88","34.555599999999998","145","155.16","0","43.1","87","64.040000000000006","0.08","17.788900000000002","317.76","88.2667","34.44","9.5666700000000002","16","13.48","0","162","84.6","23.64","11","12.72","0","101","91.12","23.76","6.16","332.84","201.2","235.72","-0.29724299999999998","-7.4310700000000001"
"NT","Trial_45",54,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2408.36","6.9654199999999999","25","32.96","131.72","9.1555599999999995","82","177.72","4.16","49.366700000000002","57","146.91999999999999","0","40.811100000000003","334.36","92.877799999999993","25.2","7","35","34.92","0","223","152.84","1.88","25","34.92","0","147","149.91999999999999","2.04","127.64","357.8","242.72","242.72","0.56974100000000005","14.243499999999999"
"FO","Trial_46",54,"F","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2244.0700000000002","6.4388500000000004","60","270.76","5.48","75.219499999999996","47","67.760000000000005","5.96","18.824300000000001","5","6.24","0","1.73353","329.2","91.454599999999999","29.64","8.2342499999999994","5","6","0","11","3.24","8.92","4","6","0","7","2.92","9","-","-","174.12","354.36","1.6988399999999999","42.470999999999997"
"NO_RI_1","Trial_47",54,"F","AB",2020-11-04,2021-07-13,0,2,3,"Control",2,"2385","6.8189599999999997","79","226.12","5.68","62.811100000000003","74","114.6","6.24","31.833300000000001","4","5.4","0","1.5","329.52","91.533299999999997","28.8","8","15","8.32","40.6","8","5.2","0","11","7.28","100.6","4","4.96","0","-","-","56.52","273.04000000000002","1.5115700000000001","37.789299999999997"
"NO_RI_6","Trial_48",54,"F","AB",2020-11-04,2021-07-13,0,2,2,"Control",2,"1931.24","5.5469799999999996","25","333.84","4.68","92.7333","17","14.6","8.92","4.0555599999999998","2","4.4000000000000004","0","1.2222200000000001","314.95999999999998","87.488900000000001","44.32","12.3111","0","0","-","2","4.28","0","0","0","-","2","4.28","0","-","-","-","-","0.50680800000000004","12.670199999999999"
"NT","Trial_49",56,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"3606.34","10.3642","47","50.48","84.28","14.0222","83","186.8","0","51.8889","30","116.76","0.28000000000000003","32.433300000000003","337.32","93.7","22.36","6.2111099999999997","59","61.92","9.64","188","95.88","0.04","40","61.4","9.7200000000000006","120","95.4","0.08","99.32","229.92","-","-","0.84763699999999997","21.190899999999999"
"FO","Trial_50",56,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"3850.49","11.1686","111","160.04","13.84","44.455599999999997","142","153.47999999999999","0","42.633299999999998","23","28.88","12.2","8.0222200000000008","346.48","96.244399999999999","10.6","2.9444400000000002","30","20.12","40.6","126","44.44","0","20","19.68","40.72","87","43.72","0","12.72","349.16","19.760000000000002","339.44","-1.4556899999999999","-36.392200000000003"
"NO_RI_1","Trial_51",56,"M","AB",2020-11-04,2021-07-13,0,2,3,"Control",2,"2904.47","8.8324599999999993","97","85.2","23.36","23.666699999999999","146","194.44","0.08","54.011099999999999","53","71.52","0.04","19.866700000000002","338.08","93.911100000000005","18.36","5.0999999999999996","86","49.56","5.28","183","69.64","0.04","54","51.08","5.28","138","68.56","0.04","0.08","215.96","195.88","290.68","-0.50485999999999998","-12.621499999999999"
"NO_RI_6","Trial_52",56,"M","AB",2020-11-04,2021-07-13,0,1,2,"Control",2,"2400.92","7.5472200000000003","94","37.72","79.16","10.4778","206","235.36","0","65.377799999999993","84","73.48","0.52","20.411100000000001","326.92","90.811099999999996","21.64","6.0111100000000004","12","11.48","0","534","153.80000000000001","10.24","10","11.64","0","366","157.88","10.24","4.4000000000000004","320.8","124.76","311.04000000000002","-1.7322200000000001","-43.305500000000002"
"NT","Trial_53",58,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"3670.41","10.322900000000001","89","73.36","42.84","20.377800000000001","146","189.24","0","52.566699999999997","55","90.52","1.08","25.144400000000001","351.92","97.755600000000001","8.0399999999999991","2.23333","20","12.52","14","178","110.88","1.04","17","12.08","0","129","109.36","1.1200000000000001","52.12","161.63999999999999","131.16","348.68","0.96892999999999996","24.223299999999998"
"FO","Trial_54",58,"M","AB",2020-11-04,2021-07-13,0,NA,NA,"Control",2,"2781.18","8.1387599999999996","68","151.88","0","42.188899999999997","117","124.68","0.52","34.633299999999998","52","73.760000000000005","2.8","20.488900000000001","328","91.111099999999993","27.04","7.5111100000000004","45","28.16","209.2","36","25.84","2.72","33","27.44","216.2","29","25.04","2.72","69.400000000000006","347.52","24.2","289.52","0.141157","3.5289199999999998"
"NO_RI_1","Trial_55",58,"M","AB",2020-11-04,2021-07-13,0,2,2,"Control",2,"2839.55","8.7792200000000005","86","60.6","42.88","16.833300000000001","192","142.16","2.12","39.488900000000001","111","150.12","0","41.7","333.68","92.688900000000004","21.08","5.8555599999999997","22","10.48","3.4","430","148.28","2.04","17","10.16","3.44","293","156.16","2.12","2.12","345.64","104.36","348.64","8.1222099999999995E-3","0.20305500000000001"
"NO_RI_6","Trial_56",58,"M","AB",2020-11-04,2021-07-13,0,2,3,"Control",2,"2968.58","8.4632799999999992","43","301.95999999999998","9.64","83.877799999999993","48","38.32","7.28","10.644399999999999","15","13.84","0","3.8444400000000001","334.84","93.011099999999999","22.04","6.1222200000000004","2","0.48","42.24","11","10.92","0","1","0.28000000000000003","42.36","10","10.52","0","-","-","9.64","242.76","-1.0152399999999999","-25.381"
"NT","Trial_1",1,"F","AB",2020-11-04,2021-07-12,0,NA,NA,"Enriched",1,"2122.2199999999998","6.24404","1","0.64","304.92","0.17777799999999999","26","36.6","2.16","10.166700000000001","34","321.64","0","89.344399999999993","323.04000000000002","89.7333","35.159999999999997","9.7666699999999995","45","72.88","2.16","84","150.24","0","33","72.36","2.16","54","150","0","4.84","285.76","-","-","4.6209199999999999E-2","1.15523"
"FO","Trial_2",1,"F","AB",2020-11-04,2021-07-12,0,NA,NA,"Enriched",1,"1895.86","5.5714800000000002","12","49.88","32.24","13.855600000000001","76","164.72","3.48","45.755600000000001","62","140.80000000000001","0","39.1111","311.44","86.511099999999999","42.88","11.911099999999999","33","28.48","0","85","122.96","3.84","26","27.28","0","57","122.2","3.92","3.48","352.12","-","-","-0.22223899999999999","-5.5559700000000003"
"NO_RI_1","Trial_3",1,"F","AB",2020-11-04,2021-07-12,0,1,2,"Enriched",1,"1627.84","4.9532699999999998","7","6.04","54.4","1.67778","82","117.96","3.28","32.7667","91","226.72","0.08","62.977800000000002","275.60000000000002","76.555599999999998","70.44","19.566700000000001","8","2.84","2.96","164","241.64","0.08","6","2.64","3.04","114","249.68","0.08","48.52","357.8","180.04","219.56","-0.28974100000000003","-7.2435299999999998"
"NO_RI_6","Trial_4",1,"F","AB",2020-11-04,2021-07-12,0,1,3,"Enriched",1,"2073.29","6.1624400000000001","4","2.52","4.32","0.7","79","57.76","0","16.0444","69","292.64","9.08","81.288899999999998","298.52","82.922200000000004","51.8","14.3889","100","117.44","5.6","48","89.64","2.04","79","117.32","5.6","40","88.64","2.08","154.56","314.39999999999998","-","-","0.24187900000000001","6.0469799999999996"
"NT","Trial_5",3,"F","AB",2020-11-04,2021-07-12,0,NA,NA,"Enriched",1,"2877.28","8.2775499999999997","0","0","-","0","16","11.68","0.12","3.24444","18","348.28","0","96.744399999999999","319.36","88.711100000000002","40.08","11.1333","93","74.319999999999993","49.36","118","110.52","0.8","60","75.12","49.4","62","115.52","0.84","0.12","0.12","-","-","1.0912200000000001","27.2805"
"FO","Trial_6",3,"F","AB",2020-11-04,2021-07-12,0,NA,NA,"Enriched",1,"2557.81","7.78017","6","0.72","6.04","0.2","42","33.36","0.08","9.2666699999999995","66","321.39999999999998","0.16","89.277799999999999","319.2","88.666700000000006","31.72","8.8111099999999993","176","106.76","1.88","88","31.04","0.08","97","110.28","2.16","52","30.24","0.08","0.36","248.28","-","-","1.2314099999999999","30.785299999999999"
"NO_RI_1","Trial_7",3,"F","AB",2020-11-04,2021-07-12,0,2,3,"Enriched",1,"2134.62","6.5286999999999997","34","41.64","69.44","11.566700000000001","103","144.72","24.12","40.200000000000003","69","163.76","0","45.488900000000001","311.88","86.633300000000006","40.6","11.277799999999999","2","1","23.88","219","176.8","0.88","2","0.8","24.04","119","184.36","0.92","80.239999999999995","359.84","125.76","188.04","-1.06172","-26.543099999999999"
"NO_RI_6","Trial_8",3,"F","AB",2020-11-04,2021-07-12,0,2,2,"Enriched",1,"1856.57","6.29176","17","10.4","7.88","2.88889","92","97.28","11.48","27.022200000000002","114","238.04","0","66.122200000000007","285.32","79.255600000000001","55.6","15.4444","2","5.96","0","356","253.68","6.6","2","5.96","0","162","273.8","6.72","13.12","307.72000000000003","171.24","176.12","-0.28006500000000001","-7.00162"
"NT","Trial_9",5,"F","AB",2020-11-04,2021-07-12,0,NA,NA,"Enriched",1,"1241.6500000000001","3.6730999999999998","7","12.6","186.6","3.5","32","57.56","0","15.988899999999999","32","285","0.6","79.166700000000006","220.04","61.122199999999999","134.08000000000001","37.244399999999999","50","153.72","0","68","89.96","148.44","15","154.96","0","36","91.2","148.47999999999999","-","-","-","-","-2.2433100000000001","-56.082799999999999"
"FO","Trial_10",5,"F","AB",2020-11-04,2021-07-12,0,NA,NA,"Enriched",1,"2064.79","5.8241699999999996","12","21","10.96","5.8333300000000001","60","272.36","0.04","75.655600000000007","44","63.76","0.12","17.711099999999998","316.27999999999997","87.855599999999995","42.4","11.777799999999999","28","18.68","0.04","26","10.84","10.24","17","15.72","0.04","13","6.88","10.36","7.96","250.6","143.28","143.28","0.61145700000000003","15.2864"
