"Test","Trial","Subject","Sex","Strain","DOB","Testing_Date","Week_of_Enrichment","Novel_Object...9","Novel_Object...10","Treatment","Testing_Tank","Distance_moved","Velocity","In_zone","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","Movement","...28","...29","...30","Novel_Object_Zone","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","Zone_transition","...44","...45","...46","Turn_angle","Angular_velocity"
"FO","Trial_6",34,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","3699.56","10.5425","154","153.24","0","42.566699999999997","180","195.08","3.88","54.188899999999997","24","11.32","56.92","3.1444399999999999","351.52","97.644400000000005","7.96","2.2111100000000001","53","28.6","24.52","164","50.36","22.6","44","27.2","24.6","125","51.08","22.68","141.24","291.68","89.8","339.32","1.1871700000000001","29.679400000000001"
"NO_RI_1","Trial_7",34,"M","AB",2020-11-04,2021-07-26,2,"2","2","control","2","2615.15","7.6834899999999999","121","77.64","1.08","21.566700000000001","178","244.92","0","68.033299999999997","53","36.6","18.48","10.166700000000001","340.96","94.711100000000002","16.8","4.6666699999999999","33","24.04","3.72","307","84.72","21.84","22","23.08","3.76","224","95.68","21.96","35.32","312.04000000000002","212.56","236.96","-0.74567300000000003","-18.6418"
"NO_RI_6","Trial_8",34,"M","AB",2020-11-04,2021-07-26,2,"2","3","control","2","2508.29","7.2586300000000001","71","48.2","0","13.3889","130","177.12","0.08","49.2","61","133.56","12.72","37.1","336.88","93.577799999999996","21.36","5.9333299999999998","32","12.4","2.44","219","75.16","22.76","23","11.96","2.52","170","90.4","22.92","41","355.2","157.08000000000001","331.48","-2.1522399999999999","-53.806100000000001"
"NT","Trial_9",36,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2367.71","6.70892","15","28.76","81.84","7.9897799999999997","98","158.96","4.88","44.160499999999999","83","172.2","0","47.8386","325.72000000000003","90.487799999999993","34.159999999999997","9.4899400000000007","72","104.88","7.16","60","96.36","0.04","50","105.96","7.2","43","96.92","0","62.84","350.76","-","-","5.1782799999999997E-2","1.29457"
"FO","Trial_10",36,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2321.85","6.65517","23","97.76","0","27.1556","90","184.88","1.1599999999999999","51.355600000000003","67","76.400000000000006","2","21.222200000000001","328.04","91.122200000000007","29.68","8.2444400000000009","33","26.6","51.6","90","64.959999999999994","1.2","22","25.72","51.72","61","68.2","1.28","2.84","343.68","-","-","-6.4827300000000004E-2","-1.6206799999999999"
"NO_RI_1","Trial_11",36,"F","AB",2020-11-04,2021-07-26,2,"2","2","control","2","1941.49","5.7447400000000002","28","47.64","5.44","13.2333","100","161.52000000000001","5.76","44.866700000000002","85","146.68","0","40.744399999999999","307.88","85.522199999999998","44.8","12.4444","19","17.239999999999998","114.12","275","184.2","0","15","17.239999999999998","114.08","183","192.92","0","31.52","341.68","-","-","-1.07237","-26.8094"
"NO_RI_6","Trial_12",36,"F","AB",2020-11-04,2021-07-26,2,"2","3","control","2","2441.3200000000002","7.2788199999999996","57","144.80000000000001","0","40.222200000000001","111","139.76","2.3199999999999998","38.822200000000002","64","70.48","61.04","19.5778","330.4","91.777799999999999","22.28","6.1888899999999998","120","99.12","33.92","30","18","2.44","92","100.8","34","21","18.68","2.52","102.64","329.12","-","-","0.27479199999999998","6.8697900000000001"
"NT","Trial_13",38,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","3428.74","10.0715","52","27.52","53.04","7.6444400000000003","127","251.84","0","69.955600000000004","74","80.52","0.84","22.366700000000002","345.52","95.977800000000002","14.32","3.9777800000000001","158","138.08000000000001","4.6399999999999997","98","72.16","0.04","102","137.72","4.68","61","71.88","0","63.52","349.96","313.39999999999998","313.39999999999998","0.74890800000000002","18.7227"
"FO","Trial_14",38,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","3639.09","11.379300000000001","14","13.68","5.04","3.8","188","247.32","3.04","68.7","164","93.96","0","26.1","336.48","93.466700000000003","12.68","3.5222199999999999","136","76.239999999999995","0","174","62.08","9.36","100","75.72","0","132","62.72","13.6","3.04","299.16000000000003","15.24","15.24","1.0222500000000001","25.5562"
"NO_RI_1","Trial_15",38,"M","AB",2020-11-04,2021-07-26,2,"2","2","control","2","1699.16","5.0318500000000004","0","0","-","0","117","60.04","0","16.677800000000001","112","298","3.28","82.777799999999999","293.68","81.577799999999996","62.4","17.333300000000001","65","333.8","0","1","0.12","297.56","44","334.76","0","0","0","-","3.36","355.64","-","-","-0.192493","-4.8123199999999997"
"NO_RI_6","Trial_16",38,"M","AB",2020-11-04,2021-07-26,2,"1","3","control","2","2305.89","7.2704399999999998","3","0.88","14.64","0.24444399999999999","138","102.84","11.16","28.566700000000001","138","248.36","0.04","68.988900000000001","305.95999999999998","84.988900000000001","41.6","11.5556","18","18.399999999999999","0.04","356","238.96","11.64","13","18.079999999999998","0.04","191","247.6","11.64","11.16","356.6","14.64","14.64","-1.42753","-35.688200000000002"
"NT","Trial_17",40,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","673.952","2.3518699999999999","0","0","-","0","0","0","-","0","43","323.76","0.04","89.933300000000003","119.52","33.200000000000003","194.88","54.133299999999998","0","0","-","66","319.12","0.04","0","0","-","48","319.88","0.04","-","-","-","-","4.0911200000000001","102.27800000000001"
"FO","Trial_18",40,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","743.69500000000005","5.7366200000000003","5","0.72","16.28","0.2","10","3.56","9.2799999999999994","0.98888900000000002","29","139.36000000000001","0","38.711100000000002","113.2","31.444400000000002","30.68","8.5222200000000008","34","36.28","0","37","27.28","239.84","27","34.96","0","20","27.6","252.36","9.2799999999999994","293.04000000000002","-","-","1.45228","36.307099999999998"
"NO_RI_1","Trial_19",40,"F","AB",2020-11-04,2021-07-26,2,"1","2","control","2","1925.65","6.2814800000000002","32","9.6","0","2.6675599999999999","68","108.04","113.56","30.021100000000001","103","215.52","7.88","59.886600000000001","240.16","66.733400000000003","84.84","23.5745","26","21.64","24.48","182","100.56","113.24","19","21.88","24.48","101","106.6","113.28","137.44","333.84","151.08000000000001","151.08000000000001","1.6972100000000001","42.430199999999999"
"NO_RI_6","Trial_20",40,"F","AB",2020-11-04,2021-07-26,2,"2","3","control","2","1629.91","4.6933600000000002","1","0.48","250.6","0.13333300000000001","22","22.76","5.12","6.3222199999999997","36","335.4","0","93.166700000000006","197.2","54.777799999999999","160.56","44.6","56","203","7.04","45","41.52","0.2","30","202.48","7.04","28","40.92","0","-","-","-","-","2.1601699999999999","54.004199999999997"
"NT","Trial_21",42,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2104.98","6.2233200000000002","25","291","50.4","80.833299999999994","28","35.32","0.88","9.8111099999999993","7","33.520000000000003","0","9.3111099999999993","301.2","83.666700000000006","58.12","16.144400000000001","25","19.559999999999999","5.88","8","4.32","0.68","15","19.079999999999998","6","5","4.04","0.72","-","-","-","-","0.63884700000000005","15.9712"
"FO","Trial_22",42,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2862.27","8.2334399999999999","12","354.08","0","98.355599999999995","11","5.92","209.84","1.6444399999999999","0","0","-","0","333.28","92.577799999999996","26.6","7.38889","0","0","-","4","0.84","313.83999999999997","0","0","-","1","0.8","313.95999999999998","-","-","272.72000000000003","272.72000000000003","0.94640500000000005","23.6601"
"NO_RI_1","Trial_23",42,"M","AB",2020-11-04,2021-07-26,2,"2","2","control","2","2253.2399999999998","6.5768899999999997","55","284.32","3.4","78.977800000000002","55","68.88","51.04","19.133299999999998","4","5.92","0","1.6444399999999999","333.92","92.755600000000001","24.12","6.7","7","3.52","155.08000000000001","49","23.4","0","4","3.44","163.88","34","24.76","0","-","-","54.12","320.68","0.21514800000000001","5.3787099999999999"
"NO_RI_6","Trial_24",42,"M","AB",2020-11-04,2021-07-26,2,"2","3","control","2","3435.7","10.3986","87","127.24","27.8","35.3444","140","179.4","28.04","49.833300000000001","92","32.44","10.08","9.0111100000000004","328.68","91.3","21.16","5.8777799999999996","15","2.92","100.2","203","96.32","16.920000000000002","12","2.4","100.28","166","97.52","10.08","28.04","294.60000000000002","28.16","259.64","1.6778599999999999","41.946399999999997"
"NT","Trial_25",44,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","1817.57","5.1835699999999996","0","0","-","0","17","28.48","0.08","7.9111099999999999","16","330.84","0.72","91.9","307.48","85.411100000000005","52.04","14.4556","69","95.72","1.92","78","63.08","39.56","47","94.52","2.04","47","60.28","0.08","1.1200000000000001","1.1200000000000001","-","-","-0.91162200000000004","-22.790600000000001"
"FO","Trial_26",44,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","1511.94","4.3183400000000001","17","18.600000000000001","125.12","5.1666699999999999","60","180.84","60.4","50.2333","43","146.04","0","40.566699999999997","283.56","78.7667","76.040000000000006","21.122199999999999","2","0.36","152.72","92","39.119999999999997","7.76","0","0","-","46","30.8","58.16","199.84","316.12","-","-","1.30342","32.5854"
"NO_RI_1","Trial_27",44,"F","AB",2020-11-04,2021-07-26,2,"1","2","control","2","1345.94","3.8667699999999998","4","4.3600000000000003","108.4","1.2111099999999999","48","103.92","42.76","28.866700000000002","45","251.72","0","69.922200000000004","277.68","77.133300000000006","82.12","22.8111","0","0","-","18","24.72","195.4","0","0","-","10","22.16","195.8","63.32","348.08","-","-","-0.53348200000000001","-13.3371"
"NO_RI_6","Trial_28",44,"F","AB",2020-11-04,2021-07-26,2,"2","3","control","2","1423.83","4.1385500000000004","0","0","-","0","53","148.36000000000001","2","41.211100000000002","51","211.04","0","58.622199999999999","289.88","80.522199999999998","67.92","18.866700000000002","59","107.2","56.48","3","2.8","1.92","28","105.04","59.52","2","2.16","2.08","2","352.28","-","-","0.87594499999999997","21.898599999999998"
"NT","Trial_29",46,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2148.17","6.2915000000000001","29","49.96","50.2","13.877800000000001","61","113.08","16.239999999999998","31.411100000000001","36","195.36","0","54.2667","322.68","89.633300000000006","35.119999999999997","9.7555599999999991","74","92.88","0","90","92.6","26.92","46","94.52","0","47","92.56","26.96","16.239999999999998","222.84","139.56","139.56","-0.133599","-3.3399899999999998"
"FO","Trial_30",46,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","1937.57","5.6541699999999997","28","41.44","17.64","11.511100000000001","62","185.48","0","51.522199999999998","33","132.88","24.88","36.911099999999998","306.8","85.222200000000001","52.36","14.5444","109","75.400000000000006","7.8","3","1.64","53.64","67","76.92","13.28","4","1","53.84","272.52","349.92","28.04","28.04","0.71099100000000004","17.774799999999999"
"NO_RI_1","Trial_31",46,"F","AB",2020-11-04,2021-07-26,2,"2","3","control","2","1391.95","4.2334199999999997","10","11.96","9","3.3222200000000002","66","186.08","0.84","51.688899999999997","52","159.19999999999999","0","44.222200000000001","268.32","74.533299999999997","86.32","23.977799999999998","128","126.64","0.72","0","0","-","78","129.28","0.8","0","0","-","6.28","279.64","189.16","228.72","-0.43262800000000001","-10.8157"
"NO_RI_6","Trial_32",46,"F","AB",2020-11-04,2021-07-26,2,"2","2","control","2","967.14300000000003","2.8398599999999998","11","17.920000000000002","35.96","4.9777800000000001","72","246.4","0","68.444400000000002","57","95.36","0.08","26.488900000000001","205.52","57.088900000000002","153.36000000000001","42.6","26","52.32","18.920000000000002","12","4.92","64.48","16","54","19","5","4.24","64.72","24.72","306.76","-","-","0.29093400000000003","7.2733499999999998"
"NT","Trial_33",48,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2698.94","7.97464","36","28.88","16.48","8.0222200000000008","123","206.08","11.8","57.244399999999999","87","125","0","34.722200000000001","342.68","95.188900000000004","16.920000000000002","4.7","311","148.28","0","69","49","8.92","166","156.76","0","35","48.88","8.9600000000000009","23.6","331.16","273.52","273.52","0.110161","2.7540399999999998"
"FO","Trial_34",48,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2909.09","8.4077699999999993","19","14","0","3.88889","73","269.95999999999998","0.8","74.988900000000001","53","75.2","12.6","20.8889","341.12","94.755600000000001","16.84","4.6777800000000003","121","58.84","5.44","89","97.32","2.2000000000000002","89","56","5.52","51","97.6","2.2799999999999998","13.92","350.56","-","-","7.4955499999999994E-2","1.8738900000000001"
"NO_RI_1","Trial_35",48,"M","AB",2020-11-04,2021-07-26,2,"1","2","control","2","2225.9699999999998","6.7486199999999998","52","44","8.64","12.222200000000001","184","195.96","0","54.433300000000003","111","116.36","0.44","32.322200000000002","326.39999999999998","90.666700000000006","26.36","7.3222199999999997","75","36.799999999999997","161.44","230","196.12","0","28","41.04","161.6","125","201.48","0","4.5599999999999996","355.96","23.16","327.32","-1.29149","-32.287300000000002"
"NO_RI_6","Trial_36",48,"M","AB",2020-11-04,2021-07-26,2,"2","3","control","2","2434.87","7.2830399999999997","33","28.6","1.88","7.9444400000000002","168","189.92","0","52.755600000000001","128","139.44","5.36","38.7333","333.16","92.544399999999996","22.88","6.3555599999999997","86","64.56","8.76","166","169.12","0","39","67.760000000000005","8.8000000000000007","76","173.64","0.12","5.92","354.52","94.92","177.24","-1.3573200000000001","-33.933"
"NT","Trial_37",50,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2399.98","6.9371499999999999","5","4.4000000000000004","117.88","1.2222200000000001","59","90.88","1.24","25.244399999999999","55","264.72000000000003","0","73.533299999999997","335.84","93.288899999999998","24.08","6.6888899999999998","74","84.6","0","65","88.32","1.1599999999999999","51","84.16","0","48","88.64","1.2","5.8","266.16000000000003","-","-","0.10570300000000001","2.6425800000000002"
"FO","Trial_38",50,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2298","6.6057300000000003","40","52.64","0","14.622199999999999","86","221.2","0.16","61.444400000000002","51","83.92","1.24","23.3111","325.92","90.533299999999997","30.76","8.5444399999999998","54","44.6","0.92","46","25.36","9.1199999999999992","36","45.32","0.92","33","24.2","9.24","6.24","321.52","45.2","142.16","0.16822200000000001","4.2055600000000002"
"NO_RI_1","Trial_39",50,"F","AB",2020-11-04,2021-07-26,2,"1","2","control","2","2060.17","5.9618200000000003","9","9.68","148.56","2.6888899999999998","81","119.12","0","33.088900000000002","69","230.44","5.16","64.011099999999999","321.36","89.2667","36.799999999999997","10.222200000000001","88","89.44","6.08","51","35.159999999999997","0","53","89.96","6.08","27","33.880000000000003","0","9.2799999999999994","272.83999999999997","-","-","2.61313E-3","6.5328300000000006E-2"
"NO_RI_6","Trial_40",50,"F","AB",2020-11-04,2021-07-26,2,"1","3","control","2","2040.63","5.9299900000000001","19","25.92","59.68","7.2","73","212.32","0.08","58.977800000000002","52","119.96","0.16","33.322200000000002","317","88.055599999999998","39.36","10.933299999999999","59","53.84","2.04","92","80.88","0.08","41","53.52","2.12","54","80.8","0.08","76.319999999999993","324","-","-","0.778424","19.460599999999999"
"NT","Trial_41",52,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2270.0500000000002","6.6020599999999998","30","34.04","27.88","9.4555600000000002","102","201.28","2.52","55.911099999999998","72","124.64","0","34.622199999999999","328.4","91.222200000000001","31.36","8.7111099999999997","47","41.32","12.36","132","172.6","0.2","31","41.84","12.48","62","176.56","0.36","133.36000000000001","353.8","-","-","-1.9773099999999999","-49.4328"
"FO","Trial_42",52,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2484.23","7.06792","38","35.32","76.8","9.8111099999999993","65","292.16000000000003","1.36","81.155600000000007","28","31.68","0","8.8000000000000007","333.72","92.7","24.88","6.9111099999999999","8","1.56","214.56","145","56.76","0","5","0.96","259.76","92","50.28","0","1.36","145.08000000000001","292.83999999999997","311.44","-0.23536899999999999","-5.8842299999999996"
"NO_RI_1","Trial_43",52,"M","AB",2020-11-04,2021-07-26,2,"2","3","control","2","2349.94","6.9002299999999996","46","36.08","38.840000000000003","10.0222","84","288.52","0","80.144400000000005","35","34.96","56.96","9.7111099999999997","332.28","92.3","26","7.2222200000000001","52","37.32","6.52","208","163.04","0.76","32","38.32","6.6","110","166.84","0.84","110.72","188.16","294.36","304.60000000000002","-2.8887299999999998","-72.218299999999999"
"NO_RI_6","Trial_44",52,"M","AB",2020-11-04,2021-07-26,2,"1","2","control","2","3263.21","9.5460200000000004","97","134.36000000000001","9.92","37.322200000000002","126","210.56","0","58.488900000000001","26","12.32","4.5999999999999996","3.4222199999999998","340.16","94.488900000000001","15.92","4.4222200000000003","66","26.92","0","124","53.72","11.64","46","27.24","0","93","54.6","11.56","9.68","134.91999999999999","9.92","137","0.20266400000000001","5.0666000000000002"
"NT","Trial_45",54,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","3755.55","10.5969","49","54.8","24.6","15.222200000000001","99","263.04000000000002","0.64","73.066699999999997","50","42","0","11.666700000000001","347.88","96.633300000000006","11.72","3.25556","76","40.6","5.44","124","106.12","0.96","56","40.479999999999997","5.56","87","105.36","0.96","0.64","210.52","265.39999999999998","265.39999999999998","-2.3142200000000002","-57.855400000000003"
"FO","Trial_46",54,"M","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","3081","8.6671499999999995","56","281.08","0","78.077799999999996","57","78.2","3.24","21.722200000000001","2","0.72","5.72","0.2","340.88","94.688900000000004","19.079999999999998","5.3","3","1.96","291.2","18","5.56","203.48","2","1.84","294.76","8","4.4800000000000004","203.56","-","-","42.68","299.8","-1.7390600000000001","-43.476399999999998"
"NO_RI_1","Trial_47",54,"M","AB",2020-11-04,2021-07-26,2,"2","2","control","2","2405.6999999999998","7.1149399999999998","106","186.2","5.24","51.722200000000001","141","159.44","0","44.288899999999998","38","13.24","0.12","3.6777799999999998","338.72","94.088899999999995","19.079999999999998","5.3","1","0.04","13.32","173","96.32","0","0","0","-","107","97.84","0","7.16","139.04","27.64","303.72000000000003","-1.5744899999999999","-39.362200000000001"
"NO_RI_6","Trial_48",54,"M","AB",2020-11-04,2021-07-26,2,"1","3","control","2","2336.6799999999998","6.8323999999999998","59","166.84","13.84","46.3444","88","167.44","0","46.511099999999999","24","24.88","2.76","6.9111099999999999","339.04","94.177800000000005","19.32","5.3666700000000001","34","18.920000000000002","57.84","68","37.6","2.44","25","19.12","57.92","39","37.36","2.52","112.24","325.12","65.48","352.72","-9.3141500000000002E-2","-2.3285399999999998"
"NT","Trial_49",56,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2394","6.9682199999999996","54","114.88","2.52","31.911100000000001","83","204.52","0","56.811100000000003","29","40.56","47.12","11.2667","339.84","94.4","19.32","5.3666700000000001","64","70.28","0","77","64.12","33.880000000000003","40","70.400000000000006","0","47","64.44","34","283.08","283.08","2.52","2.52","0.209672","5.2417999999999996"
"FO","Trial_50",56,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","2804.39","8.3147300000000008","25","345.4","0","95.944400000000002","18","14.32","35.56","3.9777800000000001","0","0","-","0","329.24","91.455600000000004","28.04","7.7888900000000003","6","2.72","35.68","0","0","-","4","2.52","35.68","0","0","-","-","-","254.76","268.56","1.0417799999999999","26.0444"
"NO_RI_1","Trial_51",56,"F","AB",2020-11-04,2021-07-26,2,"2","2","control","2","3425.32","10.0062","92","261.83999999999997","5.24","72.7333","91","92.92","67.28","25.8111","2","4.3600000000000003","0","1.2111099999999999","337.56","93.7667","20.8","5.7777799999999999","91","33.92","0","0","0","-","76","32.6","0","0","0","-","-","-","-","-","2.8920699999999999","72.301699999999997"
"NO_RI_6","Trial_52",56,"F","AB",2020-11-04,2021-07-26,2,"2","3","control","2","2370.4499999999998","7.2015099999999999","63","282.32","0","78.422200000000004","65","76.72","11.8","21.3111","3","0.8","177.24","0.222222","332.32","92.311099999999996","25.76","7.1555600000000004","84","38.56","62.92","0","0","-","52","38.6","63.12","0","0","-","-","-","275.72000000000003","275.72000000000003","1.9519","48.797400000000003"
"NT","Trial_53",58,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","1489.65","4.5891900000000003","13","9.84","51.36","2.73333","67","107.48","49.2","29.855599999999999","72","228.64","0","63.511099999999999","226.32","62.866700000000002","115.72","32.144399999999997","123","163.04","48.48","33","125.84","0","61","168.68","48.52","28","126.12","0","50.32","329.04","250.4","250.4","4.7E-2","1.175"
"FO","Trial_54",58,"F","AB",2020-11-04,2021-07-26,2,NA,NA,"control","2","876.31399999999996","2.4799500000000001","21","23.96","252.84","6.6555600000000004","52","47.16","0","13.1","37","288.27999999999997","0.04","80.077799999999996","129.68","36.022199999999998","229.04","63.622199999999999","102","298.39999999999998","0.04","16","11.16","318.32","44","302.64","0","6","11.96","318.56","0.64","341.44","293.44","293.44","0.26552399999999998","6.6380999999999997"
"NO_RI_1","Trial_55",58,"F","AB",2020-11-04,2021-07-26,2,"2","3","control","2","1883.09","6.9322900000000001","45","50.56","125.2","14.0444","74","173.76","115.56","48.2667","34","60.4","0","16.777799999999999","246.12","68.366699999999994","36.4","10.1111","50","27.2","116.44","71","104.08","0","40","28.4","116.56","51","104.84","0","213.48","213.48","-","-","0.12138599999999999","3.0346600000000001"
"NO_RI_6","Trial_56",58,"F","AB",2020-11-04,2021-07-26,2,"2","2","control","2","1392.77","3.9957799999999999","20","26.28","214.52","7.3","47","74.52","191.2","20.7","29","257.48","0","71.522199999999998","225.68","62.688899999999997","131.84","36.622199999999999","35","24.52","191.2","51","72.28","199.44","25","25.24","191.24","31","71.959999999999994","199.56","194.12","299.2","-","-","-6.8320800000000004","-170.80199999999999"
"NT","Trial_1",1,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1991.77","6.2492799999999997","0","0","-","0","1","0.24","218.96","6.6666699999999995E-2","36","330.6","0","91.833299999999994","278.16000000000003","77.2667","47.08","13.0778","108","94.56","0.96","73","113.92","0","85","94.96","1.04","58","115.32","0","-","-","-","-","0.48555300000000001","12.1388"
"FO","Trial_2",1,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","2575.58","7.9180200000000003","3","1.56","304.08","0.43333300000000002","139","129.12","0","35.866700000000002","131","202.84","6","56.3444","311.32","86.477800000000002","21.72","6.0333300000000003","171","139.76","0","29","27","32.520000000000003","106","141.44","0","24","27.36","32.520000000000003","6.4","359.48","-","-","-1.4476599999999999","-36.191400000000002"
"NO_RI_1","Trial_3",1,"F","AB",2020-11-04,2021-07-27,2,"2","3","enriched","1","2461.62","7.2468899999999996","0","0","-","0","14","5.52","0.64","1.5333300000000001","43","348.04","0","96.677800000000005","315.24","87.566699999999997","36.36","10.1","213","149.28","0","34","43.6","45","144","149.32","0","32","43.24","45.12","0.64","210.64","-","-","-5.4687100000000002E-2","-1.3671800000000001"
"NO_RI_6","Trial_4",1,"F","AB",2020-11-04,2021-07-27,2,"2","2","enriched","1","3186.02","9.3223900000000004","1","0.2","9.8800000000000008","5.5561699999999999E-2","6","2.16","65.88","0.60006700000000002","17","356.48","0","99.033199999999994","329.92","91.654600000000002","27.36","7.6008399999999998","108","88.12","0","138","128.24","2.56","80","89.76","0","105","129.24","2.64","205.04","205.04","-","-","-4.0997100000000002E-2","-1.0249299999999999"
"NT","Trial_5",3,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","3930.79","11.047800000000001","96","102.64","0","28.511099999999999","149","164.64","0.2","45.7333","52","86.44","0.36","24.011099999999999","345.28","95.911100000000005","14.56","4.0444399999999998","137","58.24","0.2","126","77.599999999999994","0.56000000000000005","113","57.72","0.2","80","80.319999999999993","0.56000000000000005","0.56000000000000005","300.72000000000003","0.24","348.64","-3.56789E-2","-0.89197300000000002"
"FO","Trial_6",3,"M","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","3071.28","8.6779100000000007","85","100.04","3.44","27.795100000000001","388","212.44","0","59.0242","66","31.08","0.6","8.6352499999999992","306.32","85.107799999999997","53.2","14.7811","74","117.36","0","52","19.68","1.24","57","117.76","0","40","20.16","1.28","8.44","275.56","37.92","254.4","2.37235","59.308700000000002"
"NO_RI_1","Trial_7",3,"M","AB",2020-11-04,2021-07-27,2,"1","3","enriched","1","3935.97","11.076000000000001","111","140.96","0.24","39.199100000000001","181","165.28","0","45.962200000000003","66","48.64","1.44","13.5261","351.4","97.719700000000003","8.1199999999999992","2.25806","104","44.96","0","47","32.840000000000003","7.2","85","42.92","0","44","32.159999999999997","7.24","29.52","348.2","0.24","326.95999999999998","2.1595399999999998","53.988399999999999"
"NO_RI_6","Trial_8",3,"M","AB",2020-11-04,2021-07-27,2,"2","2","enriched","1","3487.67","10.491099999999999","31","25.92","28.88","7.2008000000000001","191","120.2","0","33.392600000000002","168","198","0.24","55.006100000000004","336.04","93.354799999999997","15.08","4.1893500000000001","74","82.56","0","98","59.4","11.12","63","82.12","0","85","58.68","11.12","0.36","281","94.48","354.56","1.37107","34.276800000000001"
"NT","Trial_9",5,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","2281.1999999999998","6.4266500000000004","54","87.88","0","24.411100000000001","94","97.88","0.12","27.1889","42","167.36","0.8","46.488900000000001","330.56","91.822199999999995","28.92","8.0333299999999994","104","86.2","0.12","72","75.319999999999993","0.92","75","89.12","0.12","41","75.92","1.28","118.2","281.12","0.16","328.68","0.114825","2.8706200000000002"
"FO","Trial_10",5,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1968.93","5.5412699999999999","47","79.88","2.96","22.1889","104","216.8","0","60.222200000000001","49","51","1.36","14.166700000000001","332.2","92.277799999999999","27.32","7.5888900000000001","94","56.44","0","10","6.72","5.72","65","54.76","0","7","6.4","5.72","213.2","317.12","48.52","123.88","-0.137817","-3.4454099999999999"
"NO_RI_1","Trial_11",5,"F","AB",2020-11-04,2021-07-27,2,"2","2","enriched","1","1706.12","4.8640600000000003","32","33.880000000000003","36.96","9.4111100000000008","104","207","0.08","57.5","67","102.72","1.64","28.533300000000001","316.32","87.866699999999994","40.68","11.3","105","87.68","0.08","77","80.400000000000006","18.72","78","91.6","0.08","52","84.52","18.84","58.56","344.32","62.28","284.52","-0.41872199999999998","-10.468"
"NO_RI_6","Trial_12",5,"F","AB",2020-11-04,2021-07-27,2,"1","3","enriched","1","1748.6","5.4338100000000003","38","72.2","0.4","20.055599999999998","111","197.84","0","54.955599999999997","128","68.56","1.68","19.0444","301.27999999999997","83.688900000000004","38.92","10.8111","22","11.12","0","90","114.2","1.68","14","10.24","0","68","117.72","1.68","2.04","348.72","0.4","271.12","-1.2964199999999999","-32.410400000000003"
"NT","Trial_13",7,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","1373.73","3.9128699999999998","69","96.16","0.96","26.711099999999998","98","97.84","0","27.177800000000001","28","162.84","2.16","45.2333","245.68","68.244399999999999","113.92","31.644400000000001","17","11.72","0","174","183.64","7.72","12","12.12","0","77","192.96","7.84","165.28","343.76","0.96","346.8","0.39738800000000002","9.9346999999999994"
"FO","Trial_14",7,"F","AB",2020-11-04,2021-07-27,2,NA,NA,"enriched","1","2292.42","6.8145800000000003","101","183.88","11.2","51.077800000000003","160","137.52000000000001","0","38.200000000000003","55","31.48","0.72","8.7444400000000009","319.08","88.633300000000006","30.44","8.4555600000000002","164","67.72","0","18","10.16","37.72","109","66.88","0","14","10.6","37.68","1.2","358.64","11.2","355.68","-0.459009","-11.475199999999999"
"NO_RI_1","Trial_15",7,"F","AB",2020-11-04,2021-07-27,2,"1","2","enriched","1","2477.54","7.1597099999999996","138","199.24","0","55.3444","186","142.68","39.520000000000003","39.633299999999998","43","13.72","48.32","3.8111100000000002","335.6","93.222200000000001","23.36","6.4888899999999996","227","80.08","39.68","5","1.52","94.76","150","78.48","39.799999999999997","4","1.52","94.8","48.96","336.4","49.56","356.92","1.70801","42.700299999999999"
